Club,Elo,Fecha
Almería,1619.36364746,2023-08-11
Salernitana,1610.04675293,2023-08-11
Bochum,1608.62451172,2023-08-11
Hellas Verona,1608.21948242,2023-08-11
Luton Town,1606.52294922,2023-08-11
Montpellier,1602.54187012,2023-08-11
Werder Bremen,1602.00976562,2023-08-11
Strasbourg,1600.36791992,2023-08-11
Alavés,1598.59521484,2023-08-11
Genoa,1597.36999512,2023-08-11
Reims,1594.56628418,2023-08-11
Frosinone,1592.11743164,2023-08-11
Clermont Foot,1591.62927246,2023-08-11
Augsburg,1587.1529541,2023-08-11
Lecce,1579.2232666,2023-08-11
Las Palmas,1576.2611084,2023-08-11
Cagliari,1572.91772461,2023-08-11
Lorient,1571.22192383,2023-08-11
Brest,1570.27526855,2023-08-11
Heidenheim,1568.44641113,2023-08-11
Toulouse,1566.70129395,2023-08-11
Darmstadt 98,1552.3482666,2023-08-11
Metz,1536.94604492,2023-08-11
Nantes,1527.01538086,2023-08-11
Le Havre,1474.99572754,2023-08-11
Manchester City,2080.85083008,2023-08-12
Liverpool,1946.90002441,2023-08-12
Bayern Munich,1935.60424805,2023-08-12
Arsenal,1919.36901855,2023-08-12
Real Madrid,1906.48034668,2023-08-12
Napoli,1904.43603516,2023-08-12
Inter,1882.34521484,2023-08-12
Newcastle Utd,1876.0,2023-08-12
Manchester Utd,1873.63146973,2023-08-12
Barcelona,1862.13867188,2023-08-12
Atlético Madrid,1846.30627441,2023-08-12
Dortmund,1840.50537109,2023-08-12
Milan,1829.89758301,2023-08-12
Brighton,1828.16931152,2023-08-12
Aston Villa,1827.99499512,2023-08-12
RB Leipzig,1825.3536377,2023-08-12
Brentford,1824.33068848,2023-08-12
Tottenham,1815.87365723,2023-08-12
Paris S-G,1808.75219727,2023-08-12
Juventus,1796.9083252,2023-08-12
Roma,1789.64709473,2023-08-12
Real Sociedad,1788.48535156,2023-08-12
Chelsea,1788.09460449,2023-08-12
Lazio,1779.96057129,2023-08-12
West Ham,1779.45031738,2023-08-12
Villarreal,1771.59436035,2023-08-12
Lens,1759.54455566,2023-08-12
Atalanta,1759.26855469,2023-08-12
Crystal Palace,1757.39599609,2023-08-12
Sevilla,1755.48950195,2023-08-12
Fiorentina,1749.19775391,2023-08-12
Leverkusen,1748.23254395,2023-08-12
Betis,1739.27758789,2023-08-12
Union Berlin,1738.89282227,2023-08-12
Fulham,1736.63720703,2023-08-12
Freiburg,1732.63806152,2023-08-12
Burnley,1722.80322266,2023-08-12
Wolves,1719.03808594,2023-08-12
Eint Frankfurt,1717.03186035,2023-08-12
Wolfsburg,1709.9876709,2023-08-12
Everton,1708.23474121,2023-08-12
Rennes,1703.99707031,2023-08-12
Marseille,1700.8392334,2023-08-12
Bologna,1700.78601074,2023-08-12
Lille,1698.31689453,2023-08-12
Athletic Club,1696.69445801,2023-08-12
Lyon,1694.09020996,2023-08-12
Torino,1692.61523438,2023-08-12
Gladbach,1684.26477051,2023-08-12
Mainz 05,1682.00183105,2023-08-12
Valencia,1674.6385498,2023-08-12
Nott'ham Forest,1673.96276855,2023-08-12
Osasuna,1670.76525879,2023-08-12
Girona,1666.83972168,2023-08-12
Köln,1664.421875,2023-08-12
Bournemouth,1660.63806152,2023-08-12
Celta Vigo,1659.39855957,2023-08-12
Monza,1655.75585938,2023-08-12
Nice,1654.27075195,2023-08-12
Udinese,1652.01391602,2023-08-12
Getafe,1651.05541992,2023-08-12
Monaco,1650.91650391,2023-08-12
Sassuolo,1649.57409668,2023-08-12
Mallorca,1649.56640625,2023-08-12
Sheffield Utd,1644.07336426,2023-08-12
Hoffenheim,1639.1697998,2023-08-12
Rayo Vallecano,1637.234375,2023-08-12
Cádiz,1634.78674316,2023-08-12
Stuttgart,1628.80102539,2023-08-12
Empoli,1626.07971191,2023-08-12
Granada,1620.57788086,2023-08-12
Salernitana,1610.04675293,2023-08-12
Bochum,1608.62451172,2023-08-12
Hellas Verona,1608.21948242,2023-08-12
Luton Town,1606.52294922,2023-08-12
Almería,1605.46166992,2023-08-12
Montpellier,1602.54187012,2023-08-12
Werder Bremen,1602.00976562,2023-08-12
Strasbourg,1600.36791992,2023-08-12
Alavés,1598.59521484,2023-08-12
Genoa,1597.36999512,2023-08-12
Reims,1594.56628418,2023-08-12
Frosinone,1592.11743164,2023-08-12
Clermont Foot,1591.62927246,2023-08-12
Augsburg,1587.1529541,2023-08-12
Lecce,1579.2232666,2023-08-12
Las Palmas,1576.2611084,2023-08-12
Cagliari,1572.91772461,2023-08-12
Lorient,1571.22192383,2023-08-12
Brest,1570.27526855,2023-08-12
Heidenheim,1568.44641113,2023-08-12
Toulouse,1566.70129395,2023-08-12
Darmstadt 98,1552.3482666,2023-08-12
Metz,1536.94604492,2023-08-12
Nantes,1527.01538086,2023-08-12
Le Havre,1474.99572754,2023-08-12
Manchester City,2080.85083008,2023-08-13
Liverpool,1946.90002441,2023-08-13
Bayern Munich,1935.60424805,2023-08-13
Arsenal,1921.4630127,2023-08-13
Real Madrid,1913.27819824,2023-08-13
Napoli,1904.43603516,2023-08-13
Newcastle Utd,1887.06506348,2023-08-13
Inter,1882.34521484,2023-08-13
Manchester Utd,1873.63146973,2023-08-13
Barcelona,1862.13867188,2023-08-13
Atlético Madrid,1846.30627441,2023-08-13
Dortmund,1840.50537109,2023-08-13
Brighton,1832.36437988,2023-08-13
Milan,1829.89758301,2023-08-13
RB Leipzig,1825.3536377,2023-08-13
Brentford,1824.33068848,2023-08-13
Aston Villa,1816.93005371,2023-08-13
Tottenham,1815.87365723,2023-08-13
Paris S-G,1802.03759766,2023-08-13
Juventus,1796.9083252,2023-08-13
Roma,1789.64709473,2023-08-13
Chelsea,1788.09460449,2023-08-13
Real Sociedad,1783.34606934,2023-08-13
Lazio,1779.96057129,2023-08-13
West Ham,1777.55163574,2023-08-13
Villarreal,1771.59436035,2023-08-13
Crystal Palace,1763.99621582,2023-08-13
Lens,1759.54455566,2023-08-13
Atalanta,1759.26855469,2023-08-13
Sevilla,1755.48950195,2023-08-13
Fiorentina,1749.19775391,2023-08-13
Leverkusen,1748.23254395,2023-08-13
Fulham,1745.3659668,2023-08-13
Betis,1739.27758789,2023-08-13
Union Berlin,1738.89282227,2023-08-13
Freiburg,1732.63806152,2023-08-13
Burnley,1722.80322266,2023-08-13
Wolves,1719.03808594,2023-08-13
Eint Frankfurt,1717.03186035,2023-08-13
Wolfsburg,1709.9876709,2023-08-13
Marseille,1705.30187988,2023-08-13
Rennes,1703.99707031,2023-08-13
Bologna,1700.78601074,2023-08-13
Everton,1699.50585938,2023-08-13
Lille,1698.31689453,2023-08-13
Lyon,1694.09020996,2023-08-13
Torino,1692.61523438,2023-08-13
Athletic Club,1689.89672852,2023-08-13
Gladbach,1684.26477051,2023-08-13
Mainz 05,1682.00183105,2023-08-13
Valencia,1674.6385498,2023-08-13
Girona,1671.97900391,2023-08-13
Nott'ham Forest,1671.86889648,2023-08-13
Osasuna,1670.76525879,2023-08-13
Köln,1664.421875,2023-08-13
Bournemouth,1662.53674316,2023-08-13
Celta Vigo,1659.39855957,2023-08-13
Monza,1655.75585938,2023-08-13
Nice,1654.27075195,2023-08-13
Udinese,1652.01391602,2023-08-13
Getafe,1651.05541992,2023-08-13
Monaco,1650.91650391,2023-08-13
Mallorca,1649.63574219,2023-08-13
Sassuolo,1649.57409668,2023-08-13
Hoffenheim,1639.1697998,2023-08-13
Sheffield Utd,1637.47314453,2023-08-13
Rayo Vallecano,1637.234375,2023-08-13
Cádiz,1634.78674316,2023-08-13
Stuttgart,1628.80102539,2023-08-13
Empoli,1626.07971191,2023-08-13
Granada,1620.57788086,2023-08-13
Salernitana,1610.04675293,2023-08-13
Bochum,1608.62451172,2023-08-13
Hellas Verona,1608.21948242,2023-08-13
Almería,1605.46166992,2023-08-13
Montpellier,1602.54187012,2023-08-13
Luton Town,1602.32788086,2023-08-13
Werder Bremen,1602.00976562,2023-08-13
Strasbourg,1600.36791992,2023-08-13
Alavés,1598.59521484,2023-08-13
Genoa,1597.36999512,2023-08-13
Frosinone,1592.11743164,2023-08-13
Clermont Foot,1591.62927246,2023-08-13
Reims,1590.1036377,2023-08-13
Augsburg,1587.1529541,2023-08-13
Lecce,1579.2232666,2023-08-13
Lorient,1577.93664551,2023-08-13
Las Palmas,1576.19177246,2023-08-13
Cagliari,1572.91772461,2023-08-13
Brest,1570.27526855,2023-08-13
Heidenheim,1568.44641113,2023-08-13
Toulouse,1566.70129395,2023-08-13
Darmstadt 98,1552.3482666,2023-08-13
Metz,1536.94604492,2023-08-13
Nantes,1527.01538086,2023-08-13
Le Havre,1474.99572754,2023-08-13
Manchester City,2080.85083008,2023-08-14
Liverpool,1943.97631836,2023-08-14
Bayern Munich,1935.60424805,2023-08-14
Arsenal,1921.4630127,2023-08-14
Real Madrid,1913.27819824,2023-08-14
Napoli,1904.43603516,2023-08-14
Newcastle Utd,1887.06506348,2023-08-14
Inter,1882.34521484,2023-08-14
Manchester Utd,1873.63146973,2023-08-14
Barcelona,1858.4239502,2023-08-14
Atlético Madrid,1846.30627441,2023-08-14
Dortmund,1840.50537109,2023-08-14
Brighton,1832.36437988,2023-08-14
Milan,1829.89758301,2023-08-14
RB Leipzig,1825.3536377,2023-08-14
Brentford,1822.54724121,2023-08-14
Tottenham,1817.65698242,2023-08-14
Aston Villa,1816.93005371,2023-08-14
Paris S-G,1802.03759766,2023-08-14
Juventus,1796.9083252,2023-08-14
Chelsea,1791.01831055,2023-08-14
Roma,1789.64709473,2023-08-14
Real Sociedad,1783.34606934,2023-08-14
Lazio,1779.96057129,2023-08-14
West Ham,1777.55163574,2023-08-14
Crystal Palace,1763.99621582,2023-08-14
Villarreal,1760.68127441,2023-08-14
Atalanta,1759.26855469,2023-08-14
Sevilla,1755.48950195,2023-08-14
Betis,1750.19055176,2023-08-14
Fiorentina,1749.19775391,2023-08-14
Leverkusen,1748.23254395,2023-08-14
Lens,1747.87597656,2023-08-14
Fulham,1745.3659668,2023-08-14
Union Berlin,1738.89282227,2023-08-14
Freiburg,1732.63806152,2023-08-14
Burnley,1722.80322266,2023-08-14
Wolves,1719.03808594,2023-08-14
Eint Frankfurt,1717.03186035,2023-08-14
Rennes,1710.55859375,2023-08-14
Wolfsburg,1709.9876709,2023-08-14
Marseille,1705.30187988,2023-08-14
Bologna,1700.78601074,2023-08-14
Everton,1699.50585938,2023-08-14
Lille,1698.31689453,2023-08-14
Torino,1692.61523438,2023-08-14
Athletic Club,1689.89672852,2023-08-14
Lyon,1684.89453125,2023-08-14
Osasuna,1684.60229492,2023-08-14
Gladbach,1684.26477051,2023-08-14
Mainz 05,1682.00183105,2023-08-14
Valencia,1674.6385498,2023-08-14
Girona,1671.97900391,2023-08-14
Nott'ham Forest,1671.86889648,2023-08-14
Köln,1664.421875,2023-08-14
Bournemouth,1662.53674316,2023-08-14
Monaco,1661.68261719,2023-08-14
Monza,1655.75585938,2023-08-14
Getafe,1654.77026367,2023-08-14
Nice,1654.27075195,2023-08-14
Udinese,1652.01391602,2023-08-14
Mallorca,1649.63574219,2023-08-14
Sassuolo,1649.57409668,2023-08-14
Celta Vigo,1645.56152344,2023-08-14
Hoffenheim,1639.1697998,2023-08-14
Sheffield Utd,1637.47314453,2023-08-14
Rayo Vallecano,1637.234375,2023-08-14
Cádiz,1634.78674316,2023-08-14
Stuttgart,1628.80102539,2023-08-14
Empoli,1626.07971191,2023-08-14
Granada,1620.57788086,2023-08-14
Salernitana,1610.04675293,2023-08-14
Strasbourg,1609.56359863,2023-08-14
Bochum,1608.62451172,2023-08-14
Hellas Verona,1608.21948242,2023-08-14
Almería,1605.46166992,2023-08-14
Luton Town,1602.32788086,2023-08-14
Werder Bremen,1602.00976562,2023-08-14
Alavés,1598.59521484,2023-08-14
Montpellier,1597.94006348,2023-08-14
Genoa,1597.36999512,2023-08-14
Frosinone,1592.11743164,2023-08-14
Reims,1590.1036377,2023-08-14
Augsburg,1587.1529541,2023-08-14
Brest,1581.94372559,2023-08-14
Clermont Foot,1580.86328125,2023-08-14
Lecce,1579.2232666,2023-08-14
Lorient,1577.93664551,2023-08-14
Las Palmas,1576.19177246,2023-08-14
Toulouse,1574.94995117,2023-08-14
Cagliari,1572.91772461,2023-08-14
Heidenheim,1568.44641113,2023-08-14
Darmstadt 98,1552.3482666,2023-08-14
Metz,1530.38452148,2023-08-14
Nantes,1518.7668457,2023-08-14
Le Havre,1479.59765625,2023-08-14
Manchester City,2080.85083008,2023-08-18
Liverpool,1943.97631836,2023-08-18
Bayern Munich,1935.60424805,2023-08-18
Arsenal,1921.4630127,2023-08-18
Real Madrid,1913.27819824,2023-08-18
Napoli,1904.43603516,2023-08-18
Newcastle Utd,1887.06506348,2023-08-18
Inter,1882.34521484,2023-08-18
Manchester Utd,1877.03820801,2023-08-18
Barcelona,1858.4239502,2023-08-18
Atlético Madrid,1849.33032227,2023-08-18
Dortmund,1840.50537109,2023-08-18
Brighton,1832.36437988,2023-08-18
Milan,1829.89758301,2023-08-18
RB Leipzig,1825.3536377,2023-08-18
Brentford,1822.54724121,2023-08-18
Tottenham,1817.65698242,2023-08-18
Aston Villa,1816.93005371,2023-08-18
Paris S-G,1800.95251465,2023-08-18
Juventus,1796.9083252,2023-08-18
Chelsea,1791.01831055,2023-08-18
Roma,1789.64709473,2023-08-18
Real Sociedad,1783.34606934,2023-08-18
Lazio,1779.96057129,2023-08-18
West Ham,1777.55163574,2023-08-18
Crystal Palace,1763.99621582,2023-08-18
Villarreal,1760.68127441,2023-08-18
Atalanta,1759.26855469,2023-08-18
Sevilla,1755.48950195,2023-08-18
Betis,1750.19055176,2023-08-18
Fiorentina,1749.19775391,2023-08-18
Leverkusen,1748.23254395,2023-08-18
Lens,1746.79101562,2023-08-18
Fulham,1745.3659668,2023-08-18
Union Berlin,1738.89282227,2023-08-18
Freiburg,1732.63806152,2023-08-18
Burnley,1722.80322266,2023-08-18
Eint Frankfurt,1717.03186035,2023-08-18
Wolves,1715.63134766,2023-08-18
Wolfsburg,1709.9876709,2023-08-18
Rennes,1709.47363281,2023-08-18
Marseille,1701.42565918,2023-08-18
Bologna,1700.78601074,2023-08-18
Everton,1699.50585938,2023-08-18
Lille,1697.23181152,2023-08-18
Torino,1692.61523438,2023-08-18
Athletic Club,1689.89672852,2023-08-18
Osasuna,1684.60229492,2023-08-18
Gladbach,1684.26477051,2023-08-18
Lyon,1683.80944824,2023-08-18
Mainz 05,1682.00183105,2023-08-18
Valencia,1674.6385498,2023-08-18
Girona,1671.97900391,2023-08-18
Nott'ham Forest,1671.86889648,2023-08-18
Köln,1664.421875,2023-08-18
Bournemouth,1662.53674316,2023-08-18
Monaco,1660.59753418,2023-08-18
Monza,1655.75585938,2023-08-18
Getafe,1654.77026367,2023-08-18
Nice,1653.18579102,2023-08-18
Udinese,1652.01391602,2023-08-18
Mallorca,1649.63574219,2023-08-18
Sassuolo,1649.57409668,2023-08-18
Celta Vigo,1645.56152344,2023-08-18
Cádiz,1640.30053711,2023-08-18
Hoffenheim,1639.1697998,2023-08-18
Sheffield Utd,1637.47314453,2023-08-18
Rayo Vallecano,1637.234375,2023-08-18
Stuttgart,1628.80102539,2023-08-18
Empoli,1626.07971191,2023-08-18
Granada,1617.55383301,2023-08-18
Salernitana,1610.04675293,2023-08-18
Bochum,1608.62451172,2023-08-18
Strasbourg,1608.47851562,2023-08-18
Hellas Verona,1608.21948242,2023-08-18
Almería,1605.46166992,2023-08-18
Luton Town,1602.32788086,2023-08-18
Werder Bremen,1602.00976562,2023-08-18
Genoa,1597.36999512,2023-08-18
Montpellier,1596.85498047,2023-08-18
Alavés,1593.08154297,2023-08-18
Frosinone,1592.11743164,2023-08-18
Reims,1589.01855469,2023-08-18
Augsburg,1587.1529541,2023-08-18
Brest,1580.85864258,2023-08-18
Clermont Foot,1579.77819824,2023-08-18
Lecce,1579.2232666,2023-08-18
Lorient,1576.8515625,2023-08-18
Las Palmas,1576.19177246,2023-08-18
Toulouse,1573.86486816,2023-08-18
Cagliari,1572.91772461,2023-08-18
Heidenheim,1568.44641113,2023-08-18
Darmstadt 98,1552.3482666,2023-08-18
Metz,1529.29943848,2023-08-18
Nantes,1517.6817627,2023-08-18
Le Havre,1478.51257324,2023-08-18
Manchester City,2080.85083008,2023-08-19
Liverpool,1943.97631836,2023-08-19
Bayern Munich,1940.37902832,2023-08-19
Arsenal,1921.4630127,2023-08-19
Real Madrid,1913.27819824,2023-08-19
Napoli,1904.43603516,2023-08-19
Newcastle Utd,1887.06506348,2023-08-19
Inter,1882.34521484,2023-08-19
Manchester Utd,1877.03820801,2023-08-19
Barcelona,1858.4239502,2023-08-19
Atlético Madrid,1849.33032227,2023-08-19
Dortmund,1840.50537109,2023-08-19
Brighton,1832.36437988,2023-08-19
Milan,1829.89758301,2023-08-19
RB Leipzig,1825.3536377,2023-08-19
Brentford,1822.54724121,2023-08-19
Tottenham,1817.65698242,2023-08-19
Aston Villa,1816.93005371,2023-08-19
Paris S-G,1800.95251465,2023-08-19
Juventus,1796.9083252,2023-08-19
Chelsea,1791.01831055,2023-08-19
Roma,1789.64709473,2023-08-19
Real Sociedad,1783.34606934,2023-08-19
Lazio,1779.96057129,2023-08-19
West Ham,1777.55163574,2023-08-19
Villarreal,1767.79052734,2023-08-19
Crystal Palace,1763.99621582,2023-08-19
Atalanta,1759.26855469,2023-08-19
Sevilla,1755.48950195,2023-08-19
Betis,1750.19055176,2023-08-19
Fiorentina,1749.19775391,2023-08-19
Leverkusen,1748.23254395,2023-08-19
Lens,1746.79101562,2023-08-19
Fulham,1745.3659668,2023-08-19
Union Berlin,1738.89282227,2023-08-19
Freiburg,1732.63806152,2023-08-19
Burnley,1722.80322266,2023-08-19
Eint Frankfurt,1717.03186035,2023-08-19
Wolves,1715.63134766,2023-08-19
Wolfsburg,1709.9876709,2023-08-19
Rennes,1709.47363281,2023-08-19
Bologna,1700.78601074,2023-08-19
Everton,1699.50585938,2023-08-19
Marseille,1697.94250488,2023-08-19
Lille,1697.23181152,2023-08-19
Torino,1692.61523438,2023-08-19
Athletic Club,1689.89672852,2023-08-19
Osasuna,1684.60229492,2023-08-19
Gladbach,1684.26477051,2023-08-19
Lyon,1683.80944824,2023-08-19
Mainz 05,1682.00183105,2023-08-19
Valencia,1678.73071289,2023-08-19
Nott'ham Forest,1677.72839355,2023-08-19
Girona,1671.97900391,2023-08-19
Köln,1664.421875,2023-08-19
Bournemouth,1662.53674316,2023-08-19
Monaco,1660.59753418,2023-08-19
Monza,1655.75585938,2023-08-19
Getafe,1654.77026367,2023-08-19
Nice,1653.18579102,2023-08-19
Udinese,1652.01391602,2023-08-19
Sassuolo,1649.57409668,2023-08-19
Celta Vigo,1645.56152344,2023-08-19
Mallorca,1642.52648926,2023-08-19
Cádiz,1640.30053711,2023-08-19
Hoffenheim,1639.1697998,2023-08-19
Rayo Vallecano,1637.234375,2023-08-19
Sheffield Utd,1631.61364746,2023-08-19
Stuttgart,1628.80102539,2023-08-19
Empoli,1626.07971191,2023-08-19
Granada,1617.55383301,2023-08-19
Salernitana,1610.04675293,2023-08-19
Bochum,1608.62451172,2023-08-19
Strasbourg,1608.47851562,2023-08-19
Hellas Verona,1608.21948242,2023-08-19
Almería,1605.46166992,2023-08-19
Luton Town,1602.32788086,2023-08-19
Genoa,1597.36999512,2023-08-19
Werder Bremen,1597.23498535,2023-08-19
Montpellier,1596.85498047,2023-08-19
Alavés,1593.08154297,2023-08-19
Frosinone,1592.11743164,2023-08-19
Reims,1589.01855469,2023-08-19
Augsburg,1587.1529541,2023-08-19
Brest,1580.85864258,2023-08-19
Clermont Foot,1579.77819824,2023-08-19
Lecce,1579.2232666,2023-08-19
Lorient,1576.8515625,2023-08-19
Toulouse,1573.86486816,2023-08-19
Cagliari,1572.91772461,2023-08-19
Las Palmas,1572.0994873,2023-08-19
Heidenheim,1568.44641113,2023-08-19
Darmstadt 98,1552.3482666,2023-08-19
Metz,1532.78259277,2023-08-19
Nantes,1517.6817627,2023-08-19
Le Havre,1478.51257324,2023-08-19
Manchester City,2083.55249023,2023-08-20
Liverpool,1946.37207031,2023-08-20
Bayern Munich,1940.37902832,2023-08-20
Arsenal,1921.4630127,2023-08-20
Real Madrid,1917.36950684,2023-08-20
Napoli,1908.06518555,2023-08-20
Inter,1885.67785645,2023-08-20
Newcastle Utd,1884.36328125,2023-08-20
Manchester Utd,1865.61010742,2023-08-20
Barcelona,1858.4239502,2023-08-20
Atlético Madrid,1849.33032227,2023-08-20
Brighton,1843.60998535,2023-08-20
Dortmund,1843.16638184,2023-08-20
Brentford,1835.42944336,2023-08-20
Milan,1829.89758301,2023-08-20
Tottenham,1829.08520508,2023-08-20
RB Leipzig,1817.1595459,2023-08-20
Aston Villa,1816.93005371,2023-08-20
Juventus,1796.9083252,2023-08-20
Paris S-G,1796.16809082,2023-08-20
Chelsea,1791.01831055,2023-08-20
Roma,1789.64709473,2023-08-20
Lazio,1779.96057129,2023-08-20
Real Sociedad,1777.88708496,2023-08-20
West Ham,1777.55163574,2023-08-20
Villarreal,1767.79052734,2023-08-20
Crystal Palace,1763.99621582,2023-08-20
Atalanta,1759.26855469,2023-08-20
Fiorentina,1758.79724121,2023-08-20
Leverkusen,1756.42663574,2023-08-20
Sevilla,1755.48950195,2023-08-20
Betis,1750.19055176,2023-08-20
Lens,1746.79101562,2023-08-20
Freiburg,1739.9095459,2023-08-20
Union Berlin,1738.89282227,2023-08-20
Fulham,1732.48388672,2023-08-20
Burnley,1722.80322266,2023-08-20
Eint Frankfurt,1717.03186035,2023-08-20
Wolfsburg,1714.63537598,2023-08-20
Rennes,1709.47363281,2023-08-20
Wolves,1704.38574219,2023-08-20
Athletic Club,1704.02270508,2023-08-20
Bologna,1700.78601074,2023-08-20
Everton,1699.50585938,2023-08-20
Marseille,1697.94250488,2023-08-20
Lille,1697.23181152,2023-08-20
Torino,1692.61523438,2023-08-20
Gladbach,1683.42407227,2023-08-20
Mainz 05,1682.00183105,2023-08-20
Valencia,1678.73071289,2023-08-20
Nott'ham Forest,1677.72839355,2023-08-20
Girona,1671.97900391,2023-08-20
Osasuna,1670.47644043,2023-08-20
Lyon,1664.33850098,2023-08-20
Köln,1661.76086426,2023-08-20
Monaco,1660.59753418,2023-08-20
Bournemouth,1660.14099121,2023-08-20
Getafe,1654.77026367,2023-08-20
Nice,1653.18579102,2023-08-20
Monza,1652.42321777,2023-08-20
Udinese,1652.01391602,2023-08-20
Celta Vigo,1651.02062988,2023-08-20
Sassuolo,1649.57409668,2023-08-20
Mallorca,1642.52648926,2023-08-20
Stuttgart,1641.59692383,2023-08-20
Cádiz,1640.30053711,2023-08-20
Rayo Vallecano,1637.234375,2023-08-20
Hoffenheim,1631.89831543,2023-08-20
Sheffield Utd,1631.61364746,2023-08-20
Hellas Verona,1618.02050781,2023-08-20
Granada,1617.55383301,2023-08-20
Montpellier,1616.32592773,2023-08-20
Empoli,1616.27868652,2023-08-20
Salernitana,1610.04675293,2023-08-20
Strasbourg,1608.47851562,2023-08-20
Luton Town,1602.32788086,2023-08-20
Almería,1601.37036133,2023-08-20
Werder Bremen,1597.23498535,2023-08-20
Bochum,1595.82849121,2023-08-20
Alavés,1593.08154297,2023-08-20
Reims,1589.01855469,2023-08-20
Frosinone,1588.48828125,2023-08-20
Augsburg,1587.99365234,2023-08-20
Genoa,1587.77050781,2023-08-20
Brest,1580.85864258,2023-08-20
Clermont Foot,1579.77819824,2023-08-20
Lecce,1579.2232666,2023-08-20
Toulouse,1578.64929199,2023-08-20
Lorient,1576.8515625,2023-08-20
Cagliari,1572.91772461,2023-08-20
Las Palmas,1572.0994873,2023-08-20
Heidenheim,1563.79870605,2023-08-20
Darmstadt 98,1552.3482666,2023-08-20
Metz,1532.78259277,2023-08-20
Nantes,1517.6817627,2023-08-20
Le Havre,1478.51257324,2023-08-20
Manchester City,2083.55249023,2023-08-21
Liverpool,1946.37207031,2023-08-21
Bayern Munich,1940.37902832,2023-08-21
Arsenal,1921.4630127,2023-08-21
Real Madrid,1917.36950684,2023-08-21
Napoli,1908.06518555,2023-08-21
Inter,1885.67785645,2023-08-21
Newcastle Utd,1884.36328125,2023-08-21
Manchester Utd,1865.61010742,2023-08-21
Barcelona,1861.60241699,2023-08-21
Atlético Madrid,1848.59509277,2023-08-21
Brighton,1843.60998535,2023-08-21
Dortmund,1843.16638184,2023-08-21
Brentford,1835.42944336,2023-08-21
Milan,1829.89758301,2023-08-21
Tottenham,1829.08520508,2023-08-21
Aston Villa,1825.12109375,2023-08-21
RB Leipzig,1817.1595459,2023-08-21
Juventus,1806.73327637,2023-08-21
Paris S-G,1796.16809082,2023-08-21
West Ham,1787.67602539,2023-08-21
Roma,1783.87219238,2023-08-21
Chelsea,1780.89379883,2023-08-21
Real Sociedad,1777.88708496,2023-08-21
Atalanta,1768.15979004,2023-08-21
Lazio,1767.90930176,2023-08-21
